ID,Mass,RT,2-cad4572b1-Sili-1,2-cad4572b1-Sili-2,2-cad4572b1-Sili-3,2-cad4572b1-Sili-4,2-cad4572b1-Sili-6,2-Col-Sili-1,2-Col-Sili-2,2-Col-Sili-3,2-Col-Sili-4,2-Col-Sili-5
4946,1052.5754,8.99,26969.596,27573.08622,20559.36748,10933.69103,14714.47417,4209.696289,4878.258314,4392.145561,6811.770579,3847.962172
4947,842.4646,12.33,11477.20209,12427.79315,7237.082031,9351.161133,9032.783295,10794.24959,30869.41411,13603.95071,17068.15364,17694.11091
4948,502.2407,6.2,23795.70236,22227.59451,20834.92161,21109.13188,19145.15787,4761.189894,5932.018688,3801.410418,4751.596755,4776.158273
4949,578.3289,7.52,11972.07161,10165.10883,11389.81532,18936.79193,16280.22909,1414.122559,2057.795898,2787.431829,1442.779724,1678.882883
4950,682.263,12.15,16907.78755,21038.64828,18215.57106,17804.97143,15886.93403,3567.379939,6482.381103,8408.518455,4842.463475,5463.817847
4951,466.1961,7.66,14068.64791,22440.0298,16791.20086,14431.25771,9666.844068,1,1,1187.470581,1,1
4952,260.02,3.04,3381.695587,5042.697866,5849.919434,3379.880871,6390.907122,18025.94077,17388.77786,7789.388623,16728.45661,11423.61668
4953,642.4489,15.91,13543.45843,13952.60449,16574.90864,18689.41931,16929.15756,2305.231445,2343.669922,4551.344727,2701.145996,4118.92146
4954,186.0295,0.9,8135.078204,9029.81709,5605.066685,9002.829695,5464.555561,3276.404259,3014.997368,5234.582494,2882.502413,3806.565129
4955,595.1916,2.36,22902.64107,18430.72579,18203.9037,16872.7901,17104.4386,2188.700663,3213.924446,3136.100049,3100.18789,2511.22557
4956,323.1006,2.58,10767.76153,8888.912025,8717.778114,1,10938.1643,2938.062645,3903.710205,3613.716797,3137.383155,4295.442383
4957,577.3016,8.67,22745.49204,19735.99601,11283.24035,18646.21836,12204.50852,1139.894356,3206.106598,3316.912994,1834.724886,3455.746367
4958,492.1756,6.15,16637.2647,17777.15608,16297.37829,18244.89328,14636.89405,4267.897662,5446.764551,5831.657807,6042.97959,6235.353802
4959,496.2031,5.16,7541.775154,1,4850.366334,8889.114021,6197.979675,2753.075762,1,4084.982069,1788.293561,2806.787959
4960,834.1843,3.47,8926.238999,7367.184198,9410.35074,7370.449686,8547.496486,18591.31215,20262.9595,19252.8695,18037.73433,19964.13467
4961,500.0852,2.48,22559.49593,18935.89668,18952.58975,31358.09781,27192.4949,6389.599126,7527.625797,7518.73821,7664.664012,8632.850087
4962,788.4102,12.26,37281.35845,29544.51212,15333.46532,45553.06179,27500.7431,8314.640363,11383.93746,12193.99423,11856.59288,17173.13719
4963,326.2091,11.26,11823.49476,17303.92049,8890.253169,5816.265813,5107.631997,1092.839722,1895.209546,3477.059648,2429.134554,2963.021068
4964,162.0317,4.03,1,1,1634.444753,1,1597.407847,1626.451433,1229.620389,1773.418945,1423.932948,1628.522712
4965,906.5092,12.91,16950.44434,19861.34336,14926.46326,22470.66502,31398.37648,5411.396033,16673.28409,16774.77119,9748.458496,12939.95453
4966,532.1872,6.48,3397.521941,1,1,1,1,18124.33398,17286.81777,18163.30915,18252.73806,19080.9116
4967,224.1378,6.92,1620.945412,1934.585436,3087.746029,2501.927375,2602.385797,1803.104717,1939.031213,1478.906416,2009.084717,2094.554443
4968,619.037,6.14,14621.91286,14865.07078,12278.42399,12945.3715,18117.6819,7559.63615,5371.383342,4727.609504,5052.969813,5839.004832
4969,491.2644,9.76,10363.87926,21644.8184,16350.7508,11456.45449,12449.93546,3190.613691,2909.036085,2899.936034,2763.337282,3236.684441
4970,658.3556,17.84,1,1,1,1117.933121,1,1432.435853,2196.720283,1243.238078,1673.327388,1838.255508
4971,368.1209,2.05,13618.03983,15143.9773,12144.61103,13304.67374,13609.35697,1840.524017,1,1484.504445,1,1
4972,242.0787,2.84,6189.916154,6772.302775,5622.364003,4292.348921,5661.888403,2339.734131,3011.367676,2018.798167,1900.746937,2611.286621
